"deg1","deg2","deg3","deg4","deg5"
1,0.00680888036728372,4.65700824763547e-13,1.47718594784787e-27,1.99249164873338e-39
1,0.0131998937547283,8.69296471278805e-13,3.97620597291155e-26,1.22541205444365e-38
1,0.0184825210477755,2.760591770351e-13,2.50778222898851e-27,1.63861782312386e-39
1,0.0140776406146927,1.24465242429958e-12,5.63246113370918e-27,1.53374465271021e-41
1,0.00840960713946964,5.85023772487717e-13,2.2244077704386e-26,1.80017063982036e-40
1,0.0146007574905346,6.45430953421028e-14,1.25696859755503e-26,1.53251305309347e-40
1,0.013561404407652,3.74082591045442e-13,1.00039209852536e-29,5.60799303226044e-41
1,0.0213505595744241,5.22749197559693e-14,1.68449970979486e-25,2.43297087051656e-40
1,0.00924940217864602,3.05966029611754e-13,4.24331174461329e-28,8.9808806955505e-39
1,0.0178969789728833,1.15146371112927e-13,1.36799272105026e-27,1.38032053640238e-40
1,0.00802297584342198,1.93274079290317e-13,4.75114981147132e-27,4.22442880443622e-39
1,0.0103318531437785,2.05605299476747e-13,2.61158521004598e-27,3.48487837036166e-39
1,0.0109669749301248,2.98185212816772e-13,1.7638392005356e-27,1.02578635872811e-40
1,0.0306931290394148,2.3596148862123e-13,1.0263512745307e-26,8.85984925434253e-40
1,0.00943443076165915,4.29717144877349e-14,8.15583313414296e-29,1.12104302904923e-40
1,0.0095435176604006,1.1694741213178e-13,6.70456987568867e-27,1.46049220173434e-39
1,0.0115797567520019,1.53052474820072e-13,2.67167964496099e-25,4.97727053409403e-40
1,0.0236282479300128,1.19742980268285e-12,3.59601050965592e-27,9.49143917451128e-40
