"model","data_gen","dataset_num","leg_deg","llik_stationary","aic_stationary","bic_stationary"
"model_Ycubic_tr100_legd10.RData","Ycubic",13,10,-144.95539011939,309.910780238779,335.96248209866
"model_Ycubic_tr100_legd10.RData","Ycubic",14,10,-86.0948508403171,192.189701680634,218.241403540515
"model_Ycubic_tr100_legd10.RData","Ycubic",15,10,-148.380905253159,316.761810506319,342.8135123662
"model_Ycubic_tr100_legd10.RData","Ycubic",16,10,-80.4724643954036,180.944928790807,206.996630650688
"model_Ycubic_tr100_legd10.RData","Ycubic",17,10,-126.351033244234,272.702066488469,298.75376834835
"model_Ycubic_tr100_legd10.RData","Ycubic",18,10,-97.9156331528412,215.831266305682,241.882968165563
"model_Ycubic_tr100_legd10.RData","Ycubic",19,10,-104.681114659142,229.362229318283,255.413931178164
"model_Ycubic_tr100_legd10.RData","Ycubic",20,10,-84.3172513368794,188.634502673759,214.68620453364
"model_Ycubic_tr100_legd10.RData","Ycubic",21,10,-111.516464544601,243.032929089203,269.084630949084
"model_Ycubic_tr100_legd10.RData","Ycubic",22,10,-91.3763284309318,202.752656861864,228.804358721745
"model_Ycubic_tr100_legd10.RData","Ycubic",23,10,-209.204578350062,438.409156700124,464.460858560005
"model_Ycubic_tr100_legd10.RData","Ycubic",24,10,-197.542264259811,415.084528519622,441.136230379503
"model_Ycubic_tr100_legd10.RData","Ycubic",25,10,-182.356587238877,384.713174477754,410.764876337635
"model_Ycubic_tr100_legd10.RData","Ycubic",26,10,-73.2604083111944,166.520816622389,192.57251848227
"model_Ycubic_tr100_legd10.RData","Ycubic",27,10,-129.553928039716,279.107856079431,305.159557939312
"model_Ycubic_tr100_legd10.RData","Ycubic",28,10,-117.136868635553,254.273737271106,280.325439130987
"model_Ycubic_tr100_legd10.RData","Ycubic",29,10,-130.232078487221,280.464156974442,306.515858834323
"model_Ycubic_tr100_legd10.RData","Ycubic",30,10,-100.430843414088,220.861686828176,246.913388688057
"model_Ycubic_tr100_legd10.RData","Ycubic",31,10,-124.600576377472,269.201152754944,295.252854614825
"model_Ycubic_tr100_legd10.RData","Ycubic",32,10,-132.051870029367,284.103740058734,310.155441918615
"model_Ycubic_tr100_legd10.RData","Ycubic",33,10,-127.898900084647,275.797800169295,301.849502029176
"model_Ycubic_tr100_legd10.RData","Ycubic",34,10,-128.126795642414,276.253591284829,302.305293144709
"model_Ycubic_tr100_legd10.RData","Ycubic",35,10,-146.216418385367,312.432836770734,338.484538630615
"model_Ycubic_tr100_legd10.RData","Ycubic",36,10,-124.095354731134,268.190709462268,294.242411322149
"model_Ycubic_tr100_legd10.RData","Ycubic",37,10,-131.348381879091,282.696763758181,308.748465618062
"model_Ycubic_tr100_legd10.RData","Ycubic",38,10,-92.5269564420444,205.053912884089,231.10561474397
"model_Ycubic_tr100_legd10.RData","Ycubic",39,10,-93.7132274903783,207.426454980757,233.478156840637
"model_Ycubic_tr100_legd10.RData","Ycubic",40,10,-132.285676380603,284.571352761207,310.623054621087
"model_Ycubic_tr100_legd10.RData","Ycubic",41,10,-105.74662926679,231.493258533581,257.544960393462
"model_Ycubic_tr100_legd10.RData","Ycubic",42,10,-152.889330153311,325.778660306623,351.830362166504
"model_Ycubic_tr100_legd10.RData","Ycubic",43,10,-110.896568724233,241.793137448467,267.844839308348
"model_Ycubic_tr100_legd10.RData","Ycubic",44,10,-120.278476172928,260.556952345855,286.608654205736
"model_Ycubic_tr100_legd10.RData","Ycubic",45,10,-113.013216786941,246.026433573883,272.078135433764
"model_Ycubic_tr100_legd10.RData","Ycubic",46,10,-180.616183355211,381.232366710422,407.284068570303
"model_Ycubic_tr100_legd10.RData","Ycubic",47,10,-116.615479563779,253.230959127558,279.282660987439
"model_Ycubic_tr100_legd10.RData","Ycubic",48,10,-135.488197473958,290.976394947917,317.028096807798
"model_Ycubic_tr100_legd10.RData","Ycubic",49,10,-83.9325904466005,187.865180893201,213.916882753082
"model_Ycubic_tr100_legd10.RData","Ycubic",50,10,-127.385344949826,274.770689899653,300.822391759534
"model_Ycubic_tr100_legd10.RData","Ycubic",51,10,-186.797342392146,393.594684784293,419.646386644174
"model_Ycubic_tr100_legd10.RData","Ycubic",52,10,-111.651867435075,243.30373487015,269.355436730031
"model_Ycubic_tr100_legd10.RData","Ycubic",53,10,-152.062550939269,324.125101878539,350.17680373842
"model_Ycubic_tr100_legd10.RData","Ycubic",54,10,-92.9903594457135,205.980718891427,232.032420751308
"model_Ycubic_tr100_legd10.RData","Ycubic",55,10,-85.7885641417473,191.577128283495,217.628830143375
"model_Ycubic_tr100_legd10.RData","Ycubic",56,10,-107.731394511887,235.462789023774,261.514490883655
"model_Ycubic_tr100_legd10.RData","Ycubic",57,10,-87.3220745658661,194.644149131732,220.695850991613
"model_Ycubic_tr100_legd10.RData","Ycubic",58,10,-95.1273882411677,210.254776482335,236.306478342216
"model_Ycubic_tr100_legd10.RData","Ycubic",59,10,-68.4474393378581,156.894878675716,182.946580535597
"model_Ycubic_tr100_legd10.RData","Ycubic",60,10,-106.085193589563,232.170387179125,258.222089039006
"model_Ycubic_tr100_legd10.RData","Ycubic",61,10,-139.488174127027,298.976348254054,325.028050113934
"model_Ycubic_tr100_legd10.RData","Ycubic",62,10,-89.794433917389,199.588867834778,225.640569694659
"model_Ycubic_tr100_legd10.RData","Ycubic",63,10,-98.0917633176548,216.18352663531,242.23522849519
"model_Ycubic_tr100_legd10.RData","Ycubic",64,10,-169.321797966855,358.64359593371,384.695297793591
"model_Ycubic_tr100_legd10.RData","Ycubic",65,10,-121.466112748717,262.932225497434,288.983927357315
"model_Ycubic_tr100_legd10.RData","Ycubic",66,10,-112.997444059308,245.994888118616,272.046589978497
"model_Ycubic_tr100_legd10.RData","Ycubic",67,10,-113.314848013811,246.629696027622,272.681397887502
"model_Ycubic_tr100_legd10.RData","Ycubic",68,10,-84.4151229627264,188.830245925453,214.881947785334
"model_Ycubic_tr100_legd10.RData","Ycubic",69,10,-202.046826120561,424.093652241121,450.145354101002
"model_Ycubic_tr100_legd10.RData","Ycubic",70,10,-153.931757343342,327.863514686684,353.915216546565
"model_Ycubic_tr100_legd10.RData","Ycubic",71,10,-105.13194142268,230.26388284536,256.315584705241
"model_Ycubic_tr100_legd10.RData","Ycubic",72,10,-157.109592662542,334.219185325083,360.270887184964
"model_Ycubic_tr100_legd10.RData","Ycubic",73,10,-99.8118551148698,219.62371022974,245.675412089621
"model_Ycubic_tr100_legd10.RData","Ycubic",74,10,-137.489631173914,294.979262347829,321.03096420771
"model_Ycubic_tr100_legd10.RData","Ycubic",75,10,-128.253280958807,276.506561917614,302.558263777495
"model_Ycubic_tr100_legd10.RData","Ycubic",76,10,-118.458927800253,256.917855600507,282.969557460387
"model_Ycubic_tr100_legd10.RData","Ycubic",77,10,-74.5428217841525,169.085643568305,195.137345428186
"model_Ycubic_tr100_legd10.RData","Ycubic",78,10,-133.131486078319,286.262972156639,312.314674016519
"model_Ycubic_tr100_legd10.RData","Ycubic",79,10,-154.042273960856,328.084547921711,354.136249781592
"model_Ycubic_tr100_legd10.RData","Ycubic",80,10,-134.14717721425,288.294354428501,314.346056288382
"model_Ycubic_tr100_legd10.RData","Ycubic",81,10,-126.51320902193,273.02641804386,299.078119903741
"model_Ycubic_tr100_legd10.RData","Ycubic",82,10,-169.376985460902,358.753970921804,384.805672781685
"model_Ycubic_tr100_legd10.RData","Ycubic",83,10,-108.237328885136,236.474657770271,262.526359630152
"model_Ycubic_tr100_legd10.RData","Ycubic",84,10,-188.545701059466,397.091402118932,423.143103978813
"model_Ycubic_tr100_legd10.RData","Ycubic",85,10,-101.742099887536,223.484199775072,249.535901634953
"model_Ycubic_tr100_legd10.RData","Ycubic",86,10,-154.936481919721,329.872963839441,355.924665699322
"model_Ycubic_tr100_legd10.RData","Ycubic",87,10,-70.0726345974677,160.145269194935,186.196971054816
"model_Ycubic_tr100_legd10.RData","Ycubic",88,10,-120.732557509279,261.465115018558,287.516816878439
"model_Ycubic_tr100_legd10.RData","Ycubic",89,10,-179.085808776428,378.171617552857,404.223319412738
"model_Ycubic_tr100_legd10.RData","Ycubic",90,10,-123.199872113759,266.399744227518,292.451446087399
"model_Ycubic_tr100_legd10.RData","Ycubic",91,10,-122.781893663595,265.56378732719,291.615489187071
"model_Ycubic_tr100_legd10.RData","Ycubic",92,10,-98.2785315119563,216.557063023913,242.608764883793
"model_Ycubic_tr100_legd10.RData","Ycubic",93,10,-123.075001896738,266.150003793477,292.201705653358
"model_Ycubic_tr100_legd10.RData","Ycubic",94,10,-128.829604235868,277.659208471737,303.710910331618
