"model","data_gen","dataset_num","leg_deg","llik","aic","bic"
"model_Ycubic_tr100_legd10.RData","Ycubic",18,10,-33806.5580358972,67633.1160717945,67659.1677736544
"model_Ycubic_tr100_legd10.RData","Ycubic",19,10,-40092.9324202346,80205.8648404693,80231.9165423292
"model_Ycubic_tr100_legd10.RData","Ycubic",20,10,-32479.479100843,64978.9582016859,65005.0099035458
"model_Ycubic_tr100_legd10.RData","Ycubic",21,10,-36204.826076105,72429.6521522099,72455.7038540698
"model_Ycubic_tr100_legd10.RData","Ycubic",22,10,-33334.6336213009,66689.2672426019,66715.3189444618
"model_Ycubic_tr100_legd10.RData","Ycubic",23,10,-59949.5213464218,119919.042692844,119945.094394704
"model_Ycubic_tr100_legd10.RData","Ycubic",24,10,-55420.7142157277,110861.428431455,110887.480133315
"model_Ycubic_tr100_legd10.RData","Ycubic",25,10,-53789.2674006264,107598.534801253,107624.586503113
"model_Ycubic_tr100_legd10.RData","Ycubic",26,10,-27045.2675726657,54110.5351453315,54136.5868471913
"model_Ycubic_tr100_legd10.RData","Ycubic",27,10,-45512.7901171409,91045.5802342818,91071.6319361417
"model_Ycubic_tr100_legd10.RData","Ycubic",28,10,-43489.489539222,86998.979078444,87025.0307803039
"model_Ycubic_tr100_legd10.RData","Ycubic",29,10,-44788.9000725589,89597.8001451178,89623.8518469776
"model_Ycubic_tr100_legd10.RData","Ycubic",30,10,-45342.3168525928,90704.6337051856,90730.6854070455
"model_Ycubic_tr100_legd10.RData","Ycubic",31,10,-40694.4878429304,81408.9756858607,81435.0273877206
"model_Ycubic_tr100_legd10.RData","Ycubic",32,10,-48104.0629228505,96228.1258457009,96254.1775475608
"model_Ycubic_tr100_legd10.RData","Ycubic",33,10,-45465.1806655479,90950.3613310957,90976.4130329556
"model_Ycubic_tr100_legd10.RData","Ycubic",34,10,-48526.1618791572,97072.3237583143,97098.3754601742
"model_Ycubic_tr100_legd10.RData","Ycubic",35,10,-46116.266858906,92252.533717812,92278.5854196719
"model_Ycubic_tr100_legd10.RData","Ycubic",36,10,-39833.1632454031,79686.3264908062,79712.378192666
"model_Ycubic_tr100_legd10.RData","Ycubic",37,10,-47775.7694584452,95571.5389168903,95597.5906187502
"model_Ycubic_tr100_legd10.RData","Ycubic",38,10,-32916.8544082111,65853.7088164221,65879.760518282
"model_Ycubic_tr100_legd10.RData","Ycubic",39,10,-38518.1799761957,77056.3599523914,77082.4116542513
"model_Ycubic_tr100_legd10.RData","Ycubic",40,10,-45319.4180755372,90658.8361510744,90684.8878529343
"model_Ycubic_tr100_legd10.RData","Ycubic",41,10,-34160.2715764146,68340.5431528291,68366.594854689
"model_Ycubic_tr100_legd10.RData","Ycubic",42,10,-47343.9480887336,94707.8961774671,94733.947879327
"model_Ycubic_tr100_legd10.RData","Ycubic",43,10,-36964.1098167745,73948.2196335489,73974.2713354088
"model_Ycubic_tr100_legd10.RData","Ycubic",44,10,-42143.0012888946,84306.0025777893,84332.0542796491
"model_Ycubic_tr100_legd10.RData","Ycubic",45,10,-43058.3174034994,86136.6348069987,86162.6865088586
"model_Ycubic_tr100_legd10.RData","Ycubic",46,10,-53586.3717641529,107192.743528306,107218.795230166
"model_Ycubic_tr100_legd10.RData","Ycubic",47,10,-40274.2084898715,80568.4169797429,80594.4686816028
"model_Ycubic_tr100_legd10.RData","Ycubic",48,10,-45626.6118274382,91273.2236548763,91299.2753567362
"model_Ycubic_tr100_legd10.RData","Ycubic",49,10,-33847.3515409411,67714.7030818823,67740.7547837422
"model_Ycubic_tr100_legd10.RData","Ycubic",50,10,-44925.7232958055,89871.4465916109,89897.4982934708
"model_Ycubic_tr100_legd10.RData","Ycubic",51,10,-58967.5745898146,117955.149179629,117981.200881489
"model_Ycubic_tr100_legd10.RData","Ycubic",52,10,-45120.1999120698,90260.3998241396,90286.4515259995
"model_Ycubic_tr100_legd10.RData","Ycubic",53,10,-46701.4257779998,93422.8515559995,93448.9032578594
"model_Ycubic_tr100_legd10.RData","Ycubic",54,10,-35270.4068655045,70560.8137310091,70586.865432869
"model_Ycubic_tr100_legd10.RData","Ycubic",55,10,-31444.8645997712,62909.7291995425,62935.7809014024
"model_Ycubic_tr100_legd10.RData","Ycubic",56,10,-41013.565713,82047.1314259999,82073.1831278598
